ID,EMOTION,SITUATION
11008,sadness,Failing an examination.
11008,disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that  turned into sadness-unpleasantness."
11008,shame,"When, as an adult I have been caught lying or behaving badly."
11008,guilt,"When I am in an environment or with a person much worse off than  me, I realize how privileged I am."
11009,joy,When I saw a person I had not seen for a long time.
11009,fear,"When, as a child, I was nearly knocked down by a car."
11009,anger,"When I heard on the radio that the football match in Belgium had  ended in a catastrophe, and several people had died.  I could not   understand how normal people could behave in such a way."
11009,sadness,"When I feel lonely, perhaps because I have to study a lot and I  am shut up in my appartment.  Nothing happens in particular  because there is no time for anything else."
11009,disgust,When one learns through the mass media all the wars and killing  going on in the world.
11009,shame,"I lied, to be precise I cancelled a meeting with a good friend."
11009,guilt,When one lets friends down
11010,joy,When I was accepted for a course on finance and accounting.
11010,fear,"A bus drove over my right leg.  The event itself was not very  frightening but when I had to wait in the emergency ward for  three hours and then my leg began to swell, I was frightened."
11010,anger,"At my Summer job, nobody looked after me in particular and I had  to learn all on my own."
11010,sadness,When I was not accepted as a student in finance and accounting.
11010,disgust,When I had just moved into my new appartment I found a ventilator  in the kitchen.  I was going to clean it when I found that the  drum was full of mud and slime.  I felt disgusted.
11010,shame,My elder brother and I have not always had a good relationship  and I feel ashamed of myself as I do not call him to talk to him  nowadays.
11010,guilt,At my Summer job a new caretaker had been employed who was my age   but I preferred going out for lunch with the accounts personnel  rather than with him.
11011,joy,Passed an exam by 2 points.
11011,fear,"In a cottage in a large forest, I was alone for a while in the  dark."
11011,anger,When I spoke to Jan-Erik Wikstr÷m on the telephone. 
11011,sadness,Railway station good-bye.
11011,disgust,I saw a cripple in rags with small children in Italy.  He was  probably an imposter.
11011,shame,I told a friend that I was going to a party and he would not  enjoy himself if he came along.  He understood  that he would not  have fitted in and there was something in that.
11011,guilt,I was the reason behind the break-up of my friend's relationship  with his girlfriend.  She finished with him.
11012,joy,I passed an exam that I was absolutely certain that I had failed.
11012,fear,"On the way back from Denmark with a friend on a small yatch,  there was a storm and my friend was blown overboard;  I was very  scared till I managed to get him back onboard."
11012,anger,I locked myself out.
11012,sadness,I missed the last tram home and had to walk in the pouring rain.
11012,disgust,I found some worms in the food and I had obviously eaten some.
11012,shame,"My friend was so intoxicated that the police came and took him  away, and they later contacted his parents."
11012,guilt,I hapened to overhear something which I was not meant to hear.
11013,joy,When I won a trip to Greece in a competition.
11013,fear,When I am out in the dark and a suspicious looking character  comes towards me.
11013,anger,"At work, when an elderly man complained unjustifiably about me and  distrusted me."
11013,sadness,When I had not understood anything after a lecture.
11013,disgust,When an alcoholic stood dribbling over a food counter.
11013,shame,When my friend and I were discussing the good looks of a guy we  realized that he had been listening.
11013,guilt,When I complained about a colleague to the manager and he told  her that someone had complained; this colleague came to me  believing that I liked her.
11014,joy,At a friend's birthday party with some of my closest friends.  It  was all very pleasant and one could say that I was happy to have  such good friends.
11014,fear,On the way home one Friday night in the heavy rain the car  acquaplanned.  I lost contact with the road surface for a few  seconds.
11014,anger,Mad at my dad.
11014,sadness,A case of unrequited love.
11014,disgust,A bad smelling cucumber.
11014,shame,Nearly caught masturbating.
11014,guilt,I do not help out enough at home.
11015,joy,I felt very happy when I won the football pools.
11015,fear,When I flew from Athens to Copenhagen after a holiday.  The plane  was caught in a storm and it began to shake and I thouhght that  we were going to crash.
11015,anger,When someone stole my bike.
41061,anger,"[ I sometimes quarrel with my mother because she blames me,  though I have not in any way been connected to some events.]"
41061,sadness,"After hearing about the death of my grandfather.  First I could  not believe it, but later I wept and felt the situation was  hopeless.  I felt lonely and wanted to be consolated."
41061,disgust,"In the evening, while I was watching TV, my little brother came  in and started eating food he had brought from the kitchen while  I was trying to concentrate on the program."
41061,shame,My little brother was arrested by the police at the railway station after  he had drunk some beer.
41061,guilt,"At my temporary job, I have to restrict  others' actions and make  them obey me, and this very often gives me  a feeling of guilt.  I  wish there could be some other way of acting."
41062,joy,"I met a dear friend of mine after a long time.  I expressed my feelings  in our own usual way, by mutual scolding and abusing (with  complete understanding) and by touching, patting and taking the  hand of the other person, etc..."
41062,fear,"I felt fear of the purest kind after a car accident.  The  incident and images of horror kept coming back to my mind.  I  wondered what could have happened to my sister, my friend and me,  though nothing very serious actually happened."
41062,anger,"Two boys whom I know were telling me, in an indecent manner, how  they had teased a young and shy girl I know.  They had despised  her conviction, scorned and touched her.  I got very angry and  did not try to conceal it and gave it back to them."
41062,sadness,"My sweetheart left me, or rather we decided to break it off by  mutual consent.  The consequences were - unrestrained weeping,  feelings of loneliness, hopelessness and disconsolation.  I felt  that I should find a friend, to talk to joyfully and to forget."
41062,disgust,"Out of sheer curiosity, I went to see a pornographic movie in  Copenhagen.  The room was full of men, who panted and  masturbated.  Very disgusting."
41062,shame,"After having quarelled unnecessarily and without any reason, and  having been stupidly cross in every way."
11062,shame,[ Do not know.]
11062,guilt,Forced to fill in a questionnaire.
11063,joy,When I won a tennis match.
11063,fear,When my dog ran out on thin ice last spring.
11063,anger,When my tennis match was interrupted because a kid cycled right  into the court.
11063,sadness,[ No response.]
11063,disgust,[ No response.]
11063,shame,[ No response.]
11063,guilt,[ No response.]
11065,joy,Celebrations on the graduation day with the orchestra playing in  the garden ( I am a part of this orchestra).
11065,fear,Risk of being involved in a fight after a party.
11071,fear,I was driving and a deer suddenly appeared in front of the  car when there was a lot of traffic behind me.
11071,anger,I saw a report on T.V news on apartheid in South Africa. 
11071,sadness,[ No response.]
11071,disgust,[ No response.]
11071,shame,[ No response.]
11071,guilt,[ No response.]
11072,joy,When my girlfriend became pregnant.
11072,fear,When I nearly collided with another car.
11072,anger,The time when someone let the air out of the tyres of my cycle.
11072,sadness,When I read a lot and did not remember anything.
11072,disgust,[ No response.]
11072,shame,[ No response.]
11072,guilt,The time that I had to put my dog to sleep.
11073,joy,[ No response.]
11073,fear,[ No response.]
11073,anger,[ No response.]
11073,sadness,Long illness.
11024,joy,When I passed an exam.
11024,fear,"When I was travelling by tram, I tripped and fell against the  door.  I thought that I was going to fall out."
11024,anger,When I missed the tram after having run for it.
11024,sadness,The inability to read a book at college.
11024,disgust,If a guy one is not interested in makes advances.
11024,shame,I drink wine too often.
11024,guilt,I do not study enough as I do not understand it properly.
11025,joy,I worked at a lawyer's office during Summer and I got a very  good reference from him.
11025,fear,I had been watching a triller a dark night in the country and I  had to go the outside toilet on my own. 
11025,anger,"When I am accused of something I have not done, I get unbelievably  angry."
11025,sadness,"When I began to read a thick book, which I had a limited time to  read.  Also when I have a lot of work to do and I cannot keep up."
11025,disgust,Someone vomited on the street.
11025,shame,"I can not think of any incident when I have felt very ashamed.   There are small incidents that I am ashamed of, for instance,  not sending money to the children in Ethiopia."
11025,guilt,I had lunch with my ex-boyfriend and did not mention it to my  fiancee.  I felt guilty despite the fact that I felt nothing for  my ex-boyfriend.
11026,joy,When I was finally qualified for my profession.
11026,fear,Someone attacked me with a knife.
11026,anger,Someone drove into my car and then denied that it had happened.
11026,sadness,When I was told that my friend's wife had cancer.
11026,disgust,When I saw a dog which had been knocked down by a car.
11026,shame,When I boxed my child's ears.
11026,guilt,When I was fined for speeding.
11027,joy,I stopped working (had a boring job).
11027,fear,"I was going home by car late one night when it was cold, dark and  windy.  I became rather panicky on the way to my house."
11027,anger,Quarrel in the family.
11027,sadness,When I am alone in a room with no contact with anyone -  loneliness drains me.
11027,disgust,When I was on holiday someone vomited in front of me.
11027,shame,Emptied a bucket of water in a hospital.
11027,guilt,When I feigned sick leave from work.
11028,joy,When I get a hug from someone I love.
11028,fear,I was driving very fast on a small road and I met an oncoming car  in a right handed bend.  The other driver was on his own side of  the road and I had to skid out of it to avoid a collision.  It  was dark.
11028,anger,My car had been towed away by the traffic police because it had  been wrongly parked.  However the sign had been put up only after  I had already parked.
11028,sadness,After an operation I had to stay in bed for a long time.
11028,disgust,I was forced to stay in the canteen and eat the food that I had  not asked for but got it anyway.
11028,shame,When I did not buy what I had promised to.
11028,guilt,By mistake I took a book from the library which was not supposed  to be loaned out.
11029,joy,When I won an unexpected sum of money.
11029,fear,My 2 year old daughter disappeared in a moment of inattention; I  was responsible for her.
11029,anger,A colleague asked me for some advice and as he did not have  enough confidence in me he asked a third person.
11029,sadness,"I wanted to be pregnant and did not succeed, so I was depressed     at every menstruation."
11029,disgust,"In a warm bus full of people, someone vomited and the whole bus  stank."
11029,shame,"I complained about a colleague's behaviour as she goes back on  her word, is often absent and is irresponsible.  I found out that  she was an alcoholic and was trying to fight againt her  addiction."
11029,guilt,I spoke to my mother on the phone.  She had skin cancer and was  waiting to be operated.  I forgot to ask her the date of the  operation and just before finishing our conversation she gave me  the date in passing. 
11030,joy,When I was at a party I met an old friend from an adult  education course.  We had not met for 2 years but had both thought  a lot about each other.  A wonderful experience. 
11030,fear,"When I was cycling through the park late one night, two people  jumped out of the woods and tried to stop me.  There were  shouting something at the same time."
11030,anger,When close relatives tried to dissuade me from studying  Psychology because of its low status.
11030,sadness,I had a long discussion on politics with an acquaintance.  He  was more knowledgeable than me and I failed to explain my point  of view and was misunderstood so I felt depressed and left.
11030,disgust,When I read a newspaper article on a young girl who had been  raped and assaulted one night by several men when she was unconscious.
11030,shame,My mother revealed personal details about me and the  negative aspects of my character to other people when I was  present but unable to defend myself.
11030,guilt,I was unfaithful to my partner once when he was working abroad  for a long period.
11031,joy,When I recently got an appartment in central Gottenburg.
11031,fear,When I saw a large spider crawling up the wall.
11031,anger,My employer took too many aspirins for a bad back and also drank  an enormous amount of spirit.  This was dangerous  and he did  not understand that he had done anything wrong.
11031,sadness,"When I left New York, and all my family and my friends behind me."
11031,disgust,When I slept with a guy because my best friend wanted me to.   He had never had intercourse with anyone and had a terrible  complex about it.
11031,shame,When I dated a close girlfriend's boyfriend a few times. He told  me that it was over between them and I accepted it.  When she  found out she finished our friendship.
11031,guilt,"When I broke off with my boyfriend after three years.  It was  quite unexpected for him and there was no particular reason for  the break up, such as someone else."
11032,joy,When my son returned from mountaineering - healthy in body and  soul.
11032,fear,When one meets new people with whom one is forced to collaborate  with.
11032,anger,The sports fishermen who catch gulls instead of fish with their hooks.    It is often a mistake but it makes me angry.
11032,sadness,I feel sad about an event I can not influence.
11032,disgust,"When a member of the family complains about the food that is  served, it disgusts me."
11032,shame,[ Cannot recall any incident when I felt shame.]
11032,guilt,I have chosen to put my son in a private school were the  examination marks are low.  Every time that he gives me his term  results I am left with a sense of guilt.
11033,joy,When I was informed that I had been accepted as a student of  Psychology.
11033,fear,When I was in a little fishing boat and we ran into hard weather  in the open sea.
11033,anger,When I found out that the guy I was dating at a particular time  had a steady relationship going on with someone else for a long  time.
11033,sadness,I felt sad and depressed when I heard that our cat had died.
11033,disgust,"When I was working as a nurse in a mental hospital, a patient ate  up the contents of another patient's spitoon."
11033,shame,"At primary school, when I vomited in front of others in the middle   of a lesson."
11033,guilt,I arrived an hour late for an important meeting ( I had  misunderstood the time).
11034,joy,When I was acceptted as a student of psychology.
11034,fear,When my son has a pain in his leg (for no apparent reason).  
11034,anger,"When, after a week at school, a teacher sent a note home saying  that my son was inattentive and unable to do his lessons."
11034,sadness,When I thought that it was going to be impossible for me to start  studying (due to wrong information from the student advisor).
11034,disgust,"At a certain person's lack of cleanliness, at home and  personally."
11034,shame,"When I made the same mistake that I had accused someone else of, and  this was obvious to a third pereson."
11034,guilt,When I lost something that was valuable to my sister.
11035,joy,When my son was born.
11035,fear,When I nearly drowned in icy water wearing ice skates.  It was  difficult to get out.
11035,anger,When I was pointed out as a problem child in primary school and  my mother took the teacher's point of view.
11035,sadness,When I was accused of neglecting work for the wrong reasons.
11035,disgust,"My parents attitude towards each other when they should become  reconciled, despite my father's long-time addiction."
11035,shame,When I was caught stealing money from my father.
11035,guilt,I stole a coconut cake from a reception table and when I put  in my mouth I realized that the host was watching me.
11036,fear,When I was reprimanded by the manager of the hotel where I  worked during Autumn 1984.
11036,anger,When my parents drove me to a nearby place and went home  immediately instead of waiting a few hours.  They could have  easily waited.
11036,sadness,When my ex-girlfriend and I discovered that there was a certain risk  of her being pregnant.
11036,disgust,When I was about to clean the draining board and saw it looked  underneath the sink (I live in a students hostel).
11036,shame,When my mother caught me masturbating.
11036,guilt,"As the only person in my family into academics, I ought to have  looked after my younger (and only) sister better, with respect to  her education and life experiences."
11037,joy,When my older sister told us that she was thinking of joining the  rest of the family for the winter sports holiday.
11037,fear,Slept in a chapel and in the middle of the night I realized that  there was someeone else in the chapel.  I never discovered who  it was and why he was there.
11037,anger,"When we were in high school a few guys sometimes provoked a  friend of mine.  They called her a pig and then grunted.  This  irritated most of the girls.  Once, one of the girls got angry at  my friend and said something nasty and this made me terribly  angry."
11037,sadness,I talked to my boyfriend on the phone when I was in high spirits  and had a lot to tell him.  I had been looking forward to this  conversation and he did not listen to me to the extent that I  had anticipated.
11037,disgust,A mother who shouts at her child for nothing.
11037,shame,"When I complained to my mother about how untidy the kitchen  loooked, she boxed my ears ( this had never happened before)."
11037,guilt,"As I could not be home before midnight I called home at 11.30 and  asked them to leave the door open so that I could get in.  I  actually woke up the whole family by calling them so late.  My  mother could not go back to sleep, besides she had a conference    the next day and really needed to sleep."
11038,joy,When I got through the first day here at the department.
11038,fear,When I was cycling past a parked car someone opened the door and  nearly pushed me off my bike and into the traffic.
11038,anger,When my boyfriend sat up half the night playing computer games  with a friend.
11038,sadness,When I had to leave my mother and my sister after a week's visit.
11038,disgust,When I saw a big spider from very close.
11038,shame,When I asked a friend to return the money that I had loaned her  and then remembered that she had repayed me in several ways.
11038,guilt,When one of my parents insinuates something about the other  (they are divorced).
11039,joy,When i was asked to be a child's godmother.
11039,fear,On the way down a ski slope which was difficult and steep.
11039,anger,When my mother interfered in my life.
11039,sadness,When I was left alone one week-end without being prepared for  it.
11039,disgust,The first time that I saw a surgeon cut off a leg and put it in a  black rubbish bag.
11039,shame,When I forgot about a meeting at work.
11039,guilt,When I demand too much from my friends.
11040,joy,When my husband suddenly came to see me at my new job and  brought some flowers and cake with him.
11040,fear,When I was nearly attackad by a man who had been chasing me.
11040,anger,"When my father asked me if I was a communist, at the same time he  made it clear that I should no longer see myself as his daughter."
11040,sadness,"When I applied for a job which I thought I had a good chance of  getting, I was not even granted an interview and did not get the  job."
11040,disgust,T.V features showing the violation of defenceless people.
11040,shame,When I as a child of 9 or 10 I was playing doctor with the  neighbours boys their mother caught us.
11040,guilt,When my husband talked about the restrictions he will have to  accept in his life to make our marriage work.  I felt that it was  directed at me as it was me who had demanded the changes.  We  were with a marriage counsellor then.
11041,joy,When we were able to afford a new sofa - a leather one which cost  SEK 20000.  I had waited for it for 2-3 years.
11041,fear,Vertigo - standing on a ladder and painting the house.
11041,anger,When my boss enrolled in a course to satisfy his own ends - to  trample on his associates.  I have the misfortune to have one of  my superiors in my course.
11041,sadness,When I argue with my mother about the way she treats her two  children differently.
11041,disgust,Spit and vomit.
11041,shame,Spots on the seat covers of my husband's car.
11041,guilt,Not speaking to my sister-in-law due to lack of interest in a  relationship on my side.
11042,fear,I was within a hair's breadth of knocking down a drunkard who  suddenly ran into the street.  The fear came later when I      realized what could have happened.
11042,anger,"When my friend, as usual, forgot the tickets at home for a  performance.  We missed it."
11043,joy,When I was appointed to position of trust in a group set up to  change the working environment.
11043,fear,I was alone in a cottage I often stay in.  I was woken up by a  rustling sound in the middle of the night.
11043,anger,"When I tried to explain to a plumber, face to face, that the  toilet was broken and he did not believe it (it had been mended  ten times)."
11043,sadness,When the result of a project work was treated nonchalantly  intead of being criticized by the teacher.
11043,disgust,When programmes on violence or pornography are shown on T.V.
11043,shame,When I talked maliciously about a colleague at work to someone  else.  Immediately afterwards I felt ashamed.
11043,guilt,When I decided to take a week s holiday without consulting the  family first.
11044,joy,After my girl and I talked things over our relationship changed  and became positive.  A diificult time turned into pleasant one.
11044,fear,When we could not land our plane and we knew that the fuel was  running out.  Bad weather had already frightened us.
11044,anger,When I read about Reagan's tactical decision concerning the  South African boycott.
11044,sadness,When my half brother became seriously ill with cancer and died  later.
11044,disgust,A film were a woman was attacked and raped.  One did not see the  worst but it had the desired effect - very strong.
11044,shame,I made a comment and it was interpreted completely differently  from what I had meant.  When I said it I realized how my mother  had understood it.
11044,guilt,I had promised to visit my girlfriend but for different reasons  could not make it.  I rang up later to tell her that I could not  come.
11045,joy,"When I was offered a high position of trust, which I later  accepted."
11045,fear,I had the window open and the door was shut so that the kitten  would not go out.  My partner came in and started talking about  something and I forgot about the window and suddenly I saw the  kitten hanging from the window frame. I was rigid with fright  till I got hold of her.
11045,anger,Some noisy guests arrived at the hotel.  I had been slightly  irritated earlier.  At night when I was trying to sleep they were  having a party so I went and yelled at them.  I wanted to sleep  as I had to get up early the next day.
11045,sadness,When I was told that I had not been successful in getting the job I  had been expecting.  I was sure that I was sufficiently  qualified.
11045,disgust,When my cat vomited and a worm came out which was still alive.  I  was forced to wipe it up.
11045,shame,When I was a child it was found out that I had taken off my  clothes outdoors.  It was summer and my friend and I were out  in the woods.  It had felt exciting at that time.  My parents  discovered that my trousers were back to front and I felt  ashamed.
11045,guilt,When I stole money from my mother and she asked me later if I was  responsible.  I never admitted it.
11046,joy,"[ Cycling in the spring sunshine gives me such delight.   Happiness is to be healthy, my wonderful finance.  Simply being  here on earth.]"
11046,fear,"When my relationship with my family is very poor I often fear  being excluded from the group, a fear which is stronger in  situations when an argument is on hand."
11046,anger,"Recently when my sister, who is four years younger than me and  very spoiled, shouted at my mother for no apparent reason .  The  heart-broken expression on my mother's face made me feel very  angry."
11046,disgust,"Disgust is a feeling that I have never experienced with peoplie  but , on the other hand, it has been with repulsive animals, i;e  snakes on T.V."
11046,shame,"When relatives have acted strangely, and unfriendly towards me."
11046,guilt,"When ,due to hunger and tiredness, I became generally irritated  with my fiancee and made cutting remarks which really hurt him.   Later I realized that my unfounded irritation had hurt the person  I love most on earth."
11047,joy,"On a boat trip to Denmark, 14 of us had a lot of fun and we  spent SEK 10 each on one armed bandits and against all odds we  won the jackpot of SEK 1000."
11047,fear,"A rainy day, I was cycling downhill and a car door suddenly  opened and while trying to avoid it the back wheels of my bike  got caught in the tram tracks.  I somersaulted but had no  injuries."
11047,anger,On the way home from Marstrand I was driving behind my father's  car.  Another car tried to push in front of my father and he was  forced to swerve and he thus collided the car with a pillar.  The  other car drove off without even seeing what had happened.
11047,sadness,My girlfriend who had spent 6 months abroad broke off our  relationship by letter.
11047,disgust,At the police centre a man between 40-50 was brought in.  He was  very drunk and in all likelihood had not slept indoors for a long  time and had relieved himself in his trousers.
11047,shame,A customer at the shop where I worked came in and asked if the  goods that he had ordered had arrived.  I had totally  forgotten about this order and I tried to offer weak excuses.
11047,guilt,I was 4-5 years old when I hid the bicycle keys of a not very  good friend.  After a few hours I pretended that I had found  it.
11048,joy,When I was at the end-of-term party last week and had fun - was  happy and sang and drank only soft drinks.  It is possible to  have a good time without alcohol.
11048,fear,Last Summer I was walking along the beach in a bikini and an  awful man came cycling after me.  He was shouting and I ran as  fast as my legs could carry me.
11048,anger,In a course I thought that I deserved good marks but I only got  ordinary marks with no justification as to why I was given these  marks.
11048,sadness,When I crashed my car and it had to be scrapped then.  It was my  fault and I feel depressed as I miss the car.
11048,disgust,"I had some sort of a stomach virus last week and  I vomited in  college in the morning, then in the cake shop, three times during  the trip home and again when I got home."
11048,shame,When I was an evening school teacher it was my job to make the  coffee but I was not able to get the coffee ready on time and I  thus arrived half an hour late to the class.  On top of this the  coffee was undrinkable.
11048,guilt,Many years ago a friend wanted me to with her to southern Europe  and I preferred to travel alone.  I felt guilty because I wanted  to go on my own.
11049,joy,When I felt that my love was returned.
11049,fear,When I was convinced that someonne had broken into my flat and I  woke up and heard sounds that frightened me.
11049,anger,"When it became clear that a man had used many people sexually  and psychologically, despite the fact that many people looked up  to him.  I understood that one could not trust him and I was  forced to hide this for a while."
11049,sadness,When I feel helpless after having tried to help someone without  any result.
11049,disgust,When I think now about the way my father behaved when filing a  divorce.
11049,shame,"When as an 8 year old, I wet myself in school."
11049,guilt,"When as a 7 year old, I stole money from my mother."
11050,joy,When I recently got a very positive answer from a clinic telling  me that they would willingly assist and collect data for me for a  clinical pilot study.
11050,fear,Every time I meet a certain dog that has once bitten me.
11050,anger,When after a lot of provocation my child threw a plate on the  floor.
11050,sadness,When I realized that I could not communicate properly with my  closest friend.
11050,disgust,When I tried to explain to my child as to why there were  magazines wiith naked girls on them at the kiosk.
11050,shame,When I stole a packet of cigarettes from a neighbour  and the  next day I owned up and returned it.
11050,guilt,When I was forced to decline the invitation to my mother's 70th  birthday because of my work committments in another area.
11051,joy,"When I began dansing, the teacher came and told me that I was  very good and would soon get into the ballet academy. "
11051,fear,"A late Saturday night I found myself locked in the central  underground station of Stockholm with a group of 50 hard rockers  who were drunk and equipped with various kinds of chains, etc."
11051,anger,"When I was forced to call the telephone company about a bill  concerning a disconnected phone belonging to my landlord.  The  bill was four months overdue and in the meanwhile he had been  using my phone, he seemed to have no intention of having his own  phone reconnected."
11051,sadness,Whenever I read or think about the way people treat animals and  nature.
11051,disgust,When I saw a T.V programme on animals in the film world  (mistreated and used).
11051,shame,When I was 13 years old I wrote passionate love letters to my  boyfriend and I later found out that his sister had read them.
11052,joy,When my 6 month old son is happy and well.
11052,fear,A four year girl ran away from her father straight in front of my  car.  I was forced to use the emergency brakes.
11052,anger,[ After an examine I had been satisfied with.]
11052,sadness,When a colleague failed to contact me at the arranged time.
11052,disgust,When I read racist slogans on the walls.
11052,shame,About Sweden's arms exports.
11052,guilt,Not doing something I had promised.
11053,joy,When I gave birth to a healthy boy.
11053,fear,When my husband and I spent a night by ourselves in a house which  was in an area on the outskirts of a large town with which we were   not familiar.  We  heard strange noises outside the house and the   house had glass walls so the whole thing was even more  frightening.
11053,anger,Jealous of my husband's old girlfriend.  We met her with her  husband and there was a lot of reminiscing.
11053,sadness,When my daughter had problems with her friends and I could see  her predicament from the window.  She was given a the cold  shoulder.
11053,disgust,"When I was an auxiliary nurse at the hospital and I had to change  the nappies, for the first time, of a very old and sick woman."
11053,shame,When friends found out that I had been lying about where I had  been on a particular occasion.
11053,guilt,When my middle child became very difficult to handle after the  birth of his baby brother and I did not have any patience with  him.
11054,joy,When my husband and I decided to take a few days holiday after a  particularly trying period.
11054,fear,Before a hospital visit prior to a D&C under anasthesia for an  expected miscarriage.
11054,anger,Exchange of points of view with my sister on a family matter.
11054,sadness,Treatment to become pregnant with a negative result.
11054,shame,"When I was young, about 6 or 7, I did not make it to the toilet  on time.  I hid the dirty trousers in the cellar as I feared it being discovered by my parents."
11054,guilt,At work a boy was injured because of my lack of supervision.
11055,joy,When I gave birth to a child and saw that it was normal when it  was put against my breast.
11055,fear,During labour when the foetal sounds became faint and there was a  big alert for a forceps delivery.
11055,sadness,When I first heard that Tage Dannielsson had died.
11055,disgust,The lift of Stockholm central station stank of vomit and urine.
11055,shame,On the train a drunk person touched my baby and I reacted very  disapprovingly.  I felt ashamed later as the person had not been  aggressive though he could have been.
11055,guilt,I get irritated with my son when he screams or is sick all over  his clean clothes.
11056,joy,The high school entrance exam.
11056,anger,An unjust refree decision at a sports event when I was the team  leader.
11056,sadness,When my girlfriend left me.
11056,disgust,I was dominated by a certain person and even though I knew it I  could not change my own reactions.
11056,shame,When I was given detention at secondary school.
11056,guilt,When I splashed a child by not slowing down while driving  through a puddle of water.
11057,joy,"Yesterday, when the final whistle blew at the final match between  OIS and IFK and it was certain that OIS had won the Swedish  title."
11057,fear,I was teaching someone to drive and when we were about to crash I  was scared.
11057,anger,A drummer who had borrowed my drums destroyed both the drumskin  and the sticks.  He did not repair them nor did he tell me about  it.
11057,sadness,When my dad gives priority to my kid brother's band and his  other activities.  We both play in different bands and rehearse  in my parents garage.
11057,disgust,A friend unjustly put the blame on me to relieve his conscience  and also spread lies for the same purpose.
