ID,SITUATION,EMOTION,predicted_emotion
11008,"When I am in an environment or with a person much worse off than  me, I realize how privileged I am.",guilt,sadness
11009,When I saw a person I had not seen for a long time.,joy,sadness
11009,"When, as a child, I was nearly knocked down by a car.",fear,fear
11009,"When I heard on the radio that the football match in Belgium had  ended in a catastrophe, and several people had died.  I could not   understand how normal people could behave in such a way.",anger,sadness
11009,"When I feel lonely, perhaps because I have to study a lot and I  am shut up in my appartment.  Nothing happens in particular  because there is no time for anything else.",sadness,sadness
11009,When one learns through the mass media all the wars and killing  going on in the world.,disgust,sadness
11009,"I lied, to be precise I cancelled a meeting with a good friend.",shame,sadness
11009,When one lets friends down,guilt,sadness
11010,When I was accepted for a course on finance and accounting.,joy,joy
11010,"A bus drove over my right leg.  The event itself was not very  frightening but when I had to wait in the emergency ward for  three hours and then my leg began to swell, I was frightened.",fear,fear
11010,"At my Summer job, nobody looked after me in particular and I had  to learn all on my own.",anger,sadness
11010,When I was not accepted as a student in finance and accounting.,sadness,sadness
11010,When I had just moved into my new appartment I found a ventilator  in the kitchen.  I was going to clean it when I found that the  drum was full of mud and slime.  I felt disgusted.,disgust,disgust
11010,My elder brother and I have not always had a good relationship  and I feel ashamed of myself as I do not call him to talk to him  nowadays.,shame,shame
11010,At my Summer job a new caretaker had been employed who was my age   but I preferred going out for lunch with the accounts personnel  rather than with him.,guilt,joy
11011,Passed an exam by 2 points.,joy,joy
11011,"In a cottage in a large forest, I was alone for a while in the  dark.",fear,sadness
11011,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,anger,sadness
11011,Railway station good-bye.,sadness,sadness
11011,I saw a cripple in rags with small children in Italy.  He was  probably an imposter.,disgust,disgust
11011,I told a friend that I was going to a party and he would not  enjoy himself if he came along.  He understood  that he would not  have fitted in and there was something in that.,shame,sadness
11011,I was the reason behind the break-up of my friend's relationship  with his girlfriend.  She finished with him.,guilt,sadness
11012,I passed an exam that I was absolutely certain that I had failed.,joy,joy
11012,"On the way back from Denmark with a friend on a small yatch,  there was a storm and my friend was blown overboard;  I was very  scared till I managed to get him back onboard.",fear,fear
11012,I locked myself out.,anger,sadness
11012,I missed the last tram home and had to walk in the pouring rain.,sadness,sadness
11012,I found some worms in the food and I had obviously eaten some.,disgust,sadness
11012,"My friend was so intoxicated that the police came and took him  away, and they later contacted his parents.",shame,sadness
11012,I hapened to overhear something which I was not meant to hear.,guilt,sadness
11013,When I won a trip to Greece in a competition.,joy,joy
11013,When I am out in the dark and a suspicious looking character  comes towards me.,fear,fear
11013,"At work, when an elderly man complained unjustifiably about me and  distrusted me.",anger,anger
11013,When I had not understood anything after a lecture.,sadness,sadness
11013,When an alcoholic stood dribbling over a food counter.,disgust,disgust
11013,When my friend and I were discussing the good looks of a guy we  realized that he had been listening.,shame,joy
11013,When I complained about a colleague to the manager and he told  her that someone had complained; this colleague came to me  believing that I liked her.,guilt,sadness
11014,At a friend's birthday party with some of my closest friends.  It  was all very pleasant and one could say that I was happy to have  such good friends.,joy,joy
11014,On the way home one Friday night in the heavy rain the car  acquaplanned.  I lost contact with the road surface for a few  seconds.,fear,fear
11014,Mad at my dad.,anger,anger
11014,A case of unrequited love.,sadness,sadness
11014,A bad smelling cucumber.,disgust,disgust
11014,Nearly caught masturbating.,shame,disgust
11014,I do not help out enough at home.,guilt,sadness
11015,I felt very happy when I won the football pools.,joy,joy
11015,When I flew from Athens to Copenhagen after a holiday.  The plane  was caught in a storm and it began to shake and I thouhght that  we were going to crash.,fear,fear
11015,When someone stole my bike.,anger,anger
41061,"[ I sometimes quarrel with my mother because she blames me,  though I have not in any way been connected to some events.]",anger,sadness
41061,"After hearing about the death of my grandfather.  First I could  not believe it, but later I wept and felt the situation was  hopeless.  I felt lonely and wanted to be consolated.",sadness,sadness
41061,"In the evening, while I was watching TV, my little brother came  in and started eating food he had brought from the kitchen while  I was trying to concentrate on the program.",disgust,disgust
41061,My little brother was arrested by the police at the railway station after  he had drunk some beer.,shame,sadness
41061,"At my temporary job, I have to restrict  others' actions and make  them obey me, and this very often gives me  a feeling of guilt.  I  wish there could be some other way of acting.",guilt,guilt
41062,"I met a dear friend of mine after a long time.  I expressed my feelings  in our own usual way, by mutual scolding and abusing (with  complete understanding) and by touching, patting and taking the  hand of the other person, etc...",joy,joy
41062,"I felt fear of the purest kind after a car accident.  The  incident and images of horror kept coming back to my mind.  I  wondered what could have happened to my sister, my friend and me,  though nothing very serious actually happened.",fear,fear
41062,"Two boys whom I know were telling me, in an indecent manner, how  they had teased a young and shy girl I know.  They had despised  her conviction, scorned and touched her.  I got very angry and  did not try to conceal it and gave it back to them.",anger,anger
41062,"My sweetheart left me, or rather we decided to break it off by  mutual consent.  The consequences were - unrestrained weeping,  feelings of loneliness, hopelessness and disconsolation.  I felt  that I should find a friend, to talk to joyfully and to forget.",sadness,sadness
41062,"Out of sheer curiosity, I went to see a pornographic movie in  Copenhagen.  The room was full of men, who panted and  masturbated.  Very disgusting.",disgust,disgust
41062,"After having quarelled unnecessarily and without any reason, and  having been stupidly cross in every way.",shame,sadness
11062,[ Do not know.],shame,sadness
11062,Forced to fill in a questionnaire.,guilt,sadness
11063,When I won a tennis match.,joy,joy
11063,When my dog ran out on thin ice last spring.,fear,fear
11063,When my tennis match was interrupted because a kid cycled right  into the court.,anger,fear
11063,[ No response.],sadness,sadness
11063,[ No response.],disgust,sadness
11063,[ No response.],shame,sadness
11063,[ No response.],guilt,sadness
11065,Celebrations on the graduation day with the orchestra playing in  the garden ( I am a part of this orchestra).,joy,joy
11065,Risk of being involved in a fight after a party.,fear,fear
11071,I was driving and a deer suddenly appeared in front of the  car when there was a lot of traffic behind me.,fear,fear
11071,I saw a report on T.V news on apartheid in South Africa. ,anger,sadness
11071,[ No response.],sadness,sadness
11071,[ No response.],disgust,sadness
11071,[ No response.],shame,sadness
11071,[ No response.],guilt,sadness
11072,When my girlfriend became pregnant.,joy,sadness
11072,When I nearly collided with another car.,fear,fear
11072,The time when someone let the air out of the tyres of my cycle.,anger,sadness
11072,When I read a lot and did not remember anything.,sadness,sadness
11072,[ No response.],disgust,sadness
11072,[ No response.],shame,sadness
11072,The time that I had to put my dog to sleep.,guilt,sadness
11073,[ No response.],joy,sadness
11073,[ No response.],fear,sadness
11073,[ No response.],anger,sadness
11073,Long illness.,sadness,sadness
11024,When I passed an exam.,joy,joy
11024,"When I was travelling by tram, I tripped and fell against the  door.  I thought that I was going to fall out.",fear,fear
11024,When I missed the tram after having run for it.,anger,sadness
11024,The inability to read a book at college.,sadness,sadness
11024,If a guy one is not interested in makes advances.,disgust,disgust
11024,I drink wine too often.,shame,sadness
11024,I do not study enough as I do not understand it properly.,guilt,sadness
11025,I worked at a lawyer's office during Summer and I got a very  good reference from him.,joy,joy
11025,I had been watching a triller a dark night in the country and I  had to go the outside toilet on my own. ,fear,fear
11025,"When I am accused of something I have not done, I get unbelievably  angry.",anger,anger
11025,"When I began to read a thick book, which I had a limited time to  read.  Also when I have a lot of work to do and I cannot keep up.",sadness,sadness
11025,Someone vomited on the street.,disgust,disgust
11025,"I can not think of any incident when I have felt very ashamed.   There are small incidents that I am ashamed of, for instance,  not sending money to the children in Ethiopia.",shame,sadness
11025,I had lunch with my ex-boyfriend and did not mention it to my  fiancee.  I felt guilty despite the fact that I felt nothing for  my ex-boyfriend.,guilt,guilt
11026,When I was finally qualified for my profession.,joy,joy
11026,Someone attacked me with a knife.,fear,fear
11026,Someone drove into my car and then denied that it had happened.,anger,sadness
11026,When I was told that my friend's wife had cancer.,sadness,sadness
11026,When I saw a dog which had been knocked down by a car.,disgust,sadness
11026,When I boxed my child's ears.,shame,anger
11026,When I was fined for speeding.,guilt,anger
11027,I stopped working (had a boring job).,joy,sadness
11027,"I was going home by car late one night when it was cold, dark and  windy.  I became rather panicky on the way to my house.",fear,fear
11027,Quarrel in the family.,anger,sadness
11027,When I am alone in a room with no contact with anyone -  loneliness drains me.,sadness,sadness
11027,When I was on holiday someone vomited in front of me.,disgust,disgust
11027,Emptied a bucket of water in a hospital.,shame,joy
11027,When I feigned sick leave from work.,guilt,guilt
11028,When I get a hug from someone I love.,joy,joy
11028,I was driving very fast on a small road and I met an oncoming car  in a right handed bend.  The other driver was on his own side of  the road and I had to skid out of it to avoid a collision.  It  was dark.,fear,fear
11028,My car had been towed away by the traffic police because it had  been wrongly parked.  However the sign had been put up only after  I had already parked.,anger,sadness
11028,After an operation I had to stay in bed for a long time.,sadness,sadness
11028,I was forced to stay in the canteen and eat the food that I had  not asked for but got it anyway.,disgust,sadness
11028,When I did not buy what I had promised to.,shame,sadness
11028,By mistake I took a book from the library which was not supposed  to be loaned out.,guilt,guilt
11029,When I won an unexpected sum of money.,joy,joy
11029,My 2 year old daughter disappeared in a moment of inattention; I  was responsible for her.,fear,sadness
11029,A colleague asked me for some advice and as he did not have  enough confidence in me he asked a third person.,anger,sadness
11029,"I wanted to be pregnant and did not succeed, so I was depressed     at every menstruation.",sadness,sadness
11029,"In a warm bus full of people, someone vomited and the whole bus  stank.",disgust,disgust
11029,"I complained about a colleague's behaviour as she goes back on  her word, is often absent and is irresponsible.  I found out that  she was an alcoholic and was trying to fight againt her  addiction.",shame,sadness
11029,I spoke to my mother on the phone.  She had skin cancer and was  waiting to be operated.  I forgot to ask her the date of the  operation and just before finishing our conversation she gave me  the date in passing. ,guilt,sadness
11030,When I was at a party I met an old friend from an adult  education course.  We had not met for 2 years but had both thought  a lot about each other.  A wonderful experience. ,joy,joy
11030,"When I was cycling through the park late one night, two people  jumped out of the woods and tried to stop me.  There were  shouting something at the same time.",fear,fear
11030,When close relatives tried to dissuade me from studying  Psychology because of its low status.,anger,sadness
11030,I had a long discussion on politics with an acquaintance.  He  was more knowledgeable than me and I failed to explain my point  of view and was misunderstood so I felt depressed and left.,sadness,sadness
11030,When I read a newspaper article on a young girl who had been  raped and assaulted one night by several men when she was unconscious.,disgust,sadness
11030,My mother revealed personal details about me and the  negative aspects of my character to other people when I was  present but unable to defend myself.,shame,sadness
11030,I was unfaithful to my partner once when he was working abroad  for a long period.,guilt,sadness
11031,When I recently got an appartment in central Gottenburg.,joy,joy
11031,When I saw a large spider crawling up the wall.,fear,fear
11031,My employer took too many aspirins for a bad back and also drank  an enormous amount of spirit.  This was dangerous  and he did  not understand that he had done anything wrong.,anger,sadness
11031,"When I left New York, and all my family and my friends behind me.",sadness,sadness
11031,When I slept with a guy because my best friend wanted me to.   He had never had intercourse with anyone and had a terrible  complex about it.,disgust,disgust
11031,When I dated a close girlfriend's boyfriend a few times. He told  me that it was over between them and I accepted it.  When she  found out she finished our friendship.,shame,sadness
11031,"When I broke off with my boyfriend after three years.  It was  quite unexpected for him and there was no particular reason for  the break up, such as someone else.",guilt,sadness
11032,When my son returned from mountaineering - healthy in body and  soul.,joy,joy
11032,When one meets new people with whom one is forced to collaborate  with.,fear,sadness
11032,The sports fishermen who catch gulls instead of fish with their hooks.    It is often a mistake but it makes me angry.,anger,anger
11032,I feel sad about an event I can not influence.,sadness,sadness
11032,"When a member of the family complains about the food that is  served, it disgusts me.",disgust,disgust
11032,[ Cannot recall any incident when I felt shame.],shame,sadness
11032,I have chosen to put my son in a private school were the  examination marks are low.  Every time that he gives me his term  results I am left with a sense of guilt.,guilt,guilt
11033,When I was informed that I had been accepted as a student of  Psychology.,joy,joy
11033,When I was in a little fishing boat and we ran into hard weather  in the open sea.,fear,fear
11033,When I found out that the guy I was dating at a particular time  had a steady relationship going on with someone else for a long  time.,anger,sadness
11033,I felt sad and depressed when I heard that our cat had died.,sadness,sadness
11033,"When I was working as a nurse in a mental hospital, a patient ate  up the contents of another patient's spitoon.",disgust,disgust
11033,"At primary school, when I vomited in front of others in the middle   of a lesson.",shame,sadness
11033,I arrived an hour late for an important meeting ( I had  misunderstood the time).,guilt,sadness
11034,When I was acceptted as a student of psychology.,joy,joy
11034,When my son has a pain in his leg (for no apparent reason).  ,fear,sadness
11034,"When, after a week at school, a teacher sent a note home saying  that my son was inattentive and unable to do his lessons.",anger,sadness
11034,When I thought that it was going to be impossible for me to start  studying (due to wrong information from the student advisor).,sadness,sadness
11034,"At a certain person's lack of cleanliness, at home and  personally.",disgust,disgust
11034,"When I made the same mistake that I had accused someone else of, and  this was obvious to a third pereson.",shame,sadness
11034,When I lost something that was valuable to my sister.,guilt,sadness
11035,When my son was born.,joy,joy
11035,When I nearly drowned in icy water wearing ice skates.  It was  difficult to get out.,fear,fear
11035,When I was pointed out as a problem child in primary school and  my mother took the teacher's point of view.,anger,sadness
11035,When I was accused of neglecting work for the wrong reasons.,sadness,sadness
11035,"My parents attitude towards each other when they should become  reconciled, despite my father's long-time addiction.",disgust,sadness
11035,When I was caught stealing money from my father.,shame,sadness
11035,I stole a coconut cake from a reception table and when I put  in my mouth I realized that the host was watching me.,guilt,fear
11036,When I was reprimanded by the manager of the hotel where I  worked during Autumn 1984.,fear,sadness
11036,When my parents drove me to a nearby place and went home  immediately instead of waiting a few hours.  They could have  easily waited.,anger,sadness
11036,When my ex-girlfriend and I discovered that there was a certain risk  of her being pregnant.,sadness,sadness
11036,When I was about to clean the draining board and saw it looked  underneath the sink (I live in a students hostel).,disgust,sadness
11036,When my mother caught me masturbating.,shame,disgust
11036,"As the only person in my family into academics, I ought to have  looked after my younger (and only) sister better, with respect to  her education and life experiences.",guilt,sadness
11037,When my older sister told us that she was thinking of joining the  rest of the family for the winter sports holiday.,joy,joy
11037,Slept in a chapel and in the middle of the night I realized that  there was someeone else in the chapel.  I never discovered who  it was and why he was there.,fear,fear
11037,"When we were in high school a few guys sometimes provoked a  friend of mine.  They called her a pig and then grunted.  This  irritated most of the girls.  Once, one of the girls got angry at  my friend and said something nasty and this made me terribly  angry.",anger,anger
11037,I talked to my boyfriend on the phone when I was in high spirits  and had a lot to tell him.  I had been looking forward to this  conversation and he did not listen to me to the extent that I  had anticipated.,sadness,sadness
11037,A mother who shouts at her child for nothing.,disgust,anger
11037,"When I complained to my mother about how untidy the kitchen  loooked, she boxed my ears ( this had never happened before).",shame,sadness
11037,"As I could not be home before midnight I called home at 11.30 and  asked them to leave the door open so that I could get in.  I  actually woke up the whole family by calling them so late.  My  mother could not go back to sleep, besides she had a conference    the next day and really needed to sleep.",guilt,sadness
11038,When I got through the first day here at the department.,joy,joy
11038,When I was cycling past a parked car someone opened the door and  nearly pushed me off my bike and into the traffic.,fear,fear
11038,When my boyfriend sat up half the night playing computer games  with a friend.,anger,sadness
11038,When I had to leave my mother and my sister after a week's visit.,sadness,sadness
11038,When I saw a big spider from very close.,disgust,fear
11038,When I asked a friend to return the money that I had loaned her  and then remembered that she had repayed me in several ways.,shame,joy
11038,When one of my parents insinuates something about the other  (they are divorced).,guilt,sadness
11039,When i was asked to be a child's godmother.,joy,joy
11039,On the way down a ski slope which was difficult and steep.,fear,fear
11039,When my mother interfered in my life.,anger,sadness
11039,When I was left alone one week-end without being prepared for  it.,sadness,sadness
11039,The first time that I saw a surgeon cut off a leg and put it in a  black rubbish bag.,disgust,disgust
11039,When I forgot about a meeting at work.,shame,sadness
11039,When I demand too much from my friends.,guilt,sadness
11040,When my husband suddenly came to see me at my new job and  brought some flowers and cake with him.,joy,joy
11040,When I was nearly attackad by a man who had been chasing me.,fear,fear
11040,"When my father asked me if I was a communist, at the same time he  made it clear that I should no longer see myself as his daughter.",anger,sadness
11040,"When I applied for a job which I thought I had a good chance of  getting, I was not even granted an interview and did not get the  job.",sadness,sadness
11040,T.V features showing the violation of defenceless people.,disgust,sadness
11040,When I as a child of 9 or 10 I was playing doctor with the  neighbours boys their mother caught us.,shame,sadness
11040,When my husband talked about the restrictions he will have to  accept in his life to make our marriage work.  I felt that it was  directed at me as it was me who had demanded the changes.  We  were with a marriage counsellor then.,guilt,sadness
11041,When we were able to afford a new sofa - a leather one which cost  SEK 20000.  I had waited for it for 2-3 years.,joy,joy
11041,Vertigo - standing on a ladder and painting the house.,fear,joy
11041,When my boss enrolled in a course to satisfy his own ends - to  trample on his associates.  I have the misfortune to have one of  my superiors in my course.,anger,sadness
11041,When I argue with my mother about the way she treats her two  children differently.,sadness,sadness
11041,Spit and vomit.,disgust,disgust
11041,Spots on the seat covers of my husband's car.,shame,disgust
11041,Not speaking to my sister-in-law due to lack of interest in a  relationship on my side.,guilt,sadness
11042,I was within a hair's breadth of knocking down a drunkard who  suddenly ran into the street.  The fear came later when I      realized what could have happened.,fear,fear
11042,"When my friend, as usual, forgot the tickets at home for a  performance.  We missed it.",anger,sadness
11043,When I was appointed to position of trust in a group set up to  change the working environment.,joy,joy
11043,I was alone in a cottage I often stay in.  I was woken up by a  rustling sound in the middle of the night.,fear,fear
11043,"When I tried to explain to a plumber, face to face, that the  toilet was broken and he did not believe it (it had been mended  ten times).",anger,sadness
11043,When the result of a project work was treated nonchalantly  intead of being criticized by the teacher.,sadness,sadness
11043,When programmes on violence or pornography are shown on T.V.,disgust,disgust
11043,When I talked maliciously about a colleague at work to someone  else.  Immediately afterwards I felt ashamed.,shame,shame
11043,When I decided to take a week s holiday without consulting the  family first.,guilt,sadness
11044,After my girl and I talked things over our relationship changed  and became positive.  A diificult time turned into pleasant one.,joy,joy
11044,When we could not land our plane and we knew that the fuel was  running out.  Bad weather had already frightened us.,fear,fear
11044,When I read about Reagan's tactical decision concerning the  South African boycott.,anger,sadness
11044,When my half brother became seriously ill with cancer and died  later.,sadness,sadness
11044,A film were a woman was attacked and raped.  One did not see the  worst but it had the desired effect - very strong.,disgust,sadness
11044,I made a comment and it was interpreted completely differently  from what I had meant.  When I said it I realized how my mother  had understood it.,shame,sadness
11044,I had promised to visit my girlfriend but for different reasons  could not make it.  I rang up later to tell her that I could not  come.,guilt,sadness
11045,"When I was offered a high position of trust, which I later  accepted.",joy,joy
11045,I had the window open and the door was shut so that the kitten  would not go out.  My partner came in and started talking about  something and I forgot about the window and suddenly I saw the  kitten hanging from the window frame. I was rigid with fright  till I got hold of her.,fear,fear
11045,Some noisy guests arrived at the hotel.  I had been slightly  irritated earlier.  At night when I was trying to sleep they were  having a party so I went and yelled at them.  I wanted to sleep  as I had to get up early the next day.,anger,irritation
11045,When I was told that I had not been successful in getting the job I  had been expecting.  I was sure that I was sufficiently  qualified.,sadness,sadness
11045,When my cat vomited and a worm came out which was still alive.  I  was forced to wipe it up.,disgust,disgust
11045,When I was a child it was found out that I had taken off my  clothes outdoors.  It was summer and my friend and I were out  in the woods.  It had felt exciting at that time.  My parents  discovered that my trousers were back to front and I felt  ashamed.,shame,shame
11045,When I stole money from my mother and she asked me later if I was  responsible.  I never admitted it.,guilt,guilt
11046,"[ Cycling in the spring sunshine gives me such delight.   Happiness is to be healthy, my wonderful finance.  Simply being  here on earth.]",joy,joy
11046,"When my relationship with my family is very poor I often fear  being excluded from the group, a fear which is stronger in  situations when an argument is on hand.",fear,fear
11046,"Recently when my sister, who is four years younger than me and  very spoiled, shouted at my mother for no apparent reason .  The  heart-broken expression on my mother's face made me feel very  angry.",anger,anger
11046,"Disgust is a feeling that I have never experienced with peoplie  but , on the other hand, it has been with repulsive animals, i;e  snakes on T.V.",disgust,disgust
11046,"When relatives have acted strangely, and unfriendly towards me.",shame,sadness
11046,"When ,due to hunger and tiredness, I became generally irritated  with my fiancee and made cutting remarks which really hurt him.   Later I realized that my unfounded irritation had hurt the person  I love most on earth.",guilt,sadness
11047,"On a boat trip to Denmark, 14 of us had a lot of fun and we  spent SEK 10 each on one armed bandits and against all odds we  won the jackpot of SEK 1000.",joy,joy
11047,"A rainy day, I was cycling downhill and a car door suddenly  opened and while trying to avoid it the back wheels of my bike  got caught in the tram tracks.  I somersaulted but had no  injuries.",fear,joy
11047,On the way home from Marstrand I was driving behind my father's  car.  Another car tried to push in front of my father and he was  forced to swerve and he thus collided the car with a pillar.  The  other car drove off without even seeing what had happened.,anger,sadness
11047,My girlfriend who had spent 6 months abroad broke off our  relationship by letter.,sadness,sadness
11047,At the police centre a man between 40-50 was brought in.  He was  very drunk and in all likelihood had not slept indoors for a long  time and had relieved himself in his trousers.,disgust,disgust
11047,A customer at the shop where I worked came in and asked if the  goods that he had ordered had arrived.  I had totally  forgotten about this order and I tried to offer weak excuses.,shame,guilt
11047,I was 4-5 years old when I hid the bicycle keys of a not very  good friend.  After a few hours I pretended that I had found  it.,guilt,guilt
11048,When I was at the end-of-term party last week and had fun - was  happy and sang and drank only soft drinks.  It is possible to  have a good time without alcohol.,joy,joy
11048,Last Summer I was walking along the beach in a bikini and an  awful man came cycling after me.  He was shouting and I ran as  fast as my legs could carry me.,fear,fear
11048,In a course I thought that I deserved good marks but I only got  ordinary marks with no justification as to why I was given these  marks.,anger,sadness
11048,When I crashed my car and it had to be scrapped then.  It was my  fault and I feel depressed as I miss the car.,sadness,sadness
11048,"I had some sort of a stomach virus last week and  I vomited in  college in the morning, then in the cake shop, three times during  the trip home and again when I got home.",disgust,sadness
11048,When I was an evening school teacher it was my job to make the  coffee but I was not able to get the coffee ready on time and I  thus arrived half an hour late to the class.  On top of this the  coffee was undrinkable.,shame,sadness
11048,Many years ago a friend wanted me to with her to southern Europe  and I preferred to travel alone.  I felt guilty because I wanted  to go on my own.,guilt,guilt
11049,When I felt that my love was returned.,joy,joy
11049,When I was convinced that someonne had broken into my flat and I  woke up and heard sounds that frightened me.,fear,fear
11049,"When it became clear that a man had used many people sexually  and psychologically, despite the fact that many people looked up  to him.  I understood that one could not trust him and I was  forced to hide this for a while.",anger,sadness
11049,When I feel helpless after having tried to help someone without  any result.,sadness,sadness
11049,When I think now about the way my father behaved when filing a  divorce.,disgust,sadness
11049,"When as an 8 year old, I wet myself in school.",shame,sadness
11049,"When as a 7 year old, I stole money from my mother.",guilt,sadness
11050,When I recently got a very positive answer from a clinic telling  me that they would willingly assist and collect data for me for a  clinical pilot study.,joy,joy
11050,Every time I meet a certain dog that has once bitten me.,fear,fear
11050,When after a lot of provocation my child threw a plate on the  floor.,anger,sadness
11050,When I realized that I could not communicate properly with my  closest friend.,sadness,sadness
11050,When I tried to explain to my child as to why there were  magazines wiith naked girls on them at the kiosk.,disgust,sadness
11050,When I stole a packet of cigarettes from a neighbour  and the  next day I owned up and returned it.,shame,guilt
11050,When I was forced to decline the invitation to my mother's 70th  birthday because of my work committments in another area.,guilt,sadness
11051,"When I began dansing, the teacher came and told me that I was  very good and would soon get into the ballet academy. ",joy,joy
11051,"A late Saturday night I found myself locked in the central  underground station of Stockholm with a group of 50 hard rockers  who were drunk and equipped with various kinds of chains, etc.",fear,fear
11051,"When I was forced to call the telephone company about a bill  concerning a disconnected phone belonging to my landlord.  The  bill was four months overdue and in the meanwhile he had been  using my phone, he seemed to have no intention of having his own  phone reconnected.",anger,sadness
11051,Whenever I read or think about the way people treat animals and  nature.,sadness,sadness
11051,When I saw a T.V programme on animals in the film world  (mistreated and used).,disgust,sadness
11051,When I was 13 years old I wrote passionate love letters to my  boyfriend and I later found out that his sister had read them.,shame,sadness
11052,When my 6 month old son is happy and well.,joy,joy
11052,A four year girl ran away from her father straight in front of my  car.  I was forced to use the emergency brakes.,fear,fear
11052,[ After an examine I had been satisfied with.],anger,joy
11052,When a colleague failed to contact me at the arranged time.,sadness,sadness
